dataset,total_vars,extracted_vars,missing_vars,extraction_rate,is_tall_format,n_params_pivoted,src_rows,src_cols,src_cells_total,src_cells_filled,src_fill_pct,missing_var_names,ard_cols_count,ard_cells_total,ard_cells_filled,ard_fill_pct,fill_efficiency
adae,102,102,0,100,FALSE,0,1718,103,176954,174991,98.89,"",102,857616,184527,21.52,105.45
adbdc,38,38,0,100,TRUE,92,21540,39,840060,771727,91.87,"",126,1059408,699904,66.07,90.69
adcdai,37,37,0,100,TRUE,26,159900,40,6396000,6231495,97.43,"",59,496072,410464,82.74,6.59
addisp,41,41,0,100,TRUE,10,505,42,21210,20802,98.08,"",48,403584,65101,16.13,312.96
adex,53,53,0,100,FALSE,0,14871,56,832776,832494,99.97,"",53,445624,372848,83.67,44.79
adice,38,38,0,100,TRUE,1,450,39,17550,17440,99.37,"",36,302688,154682,51.1,886.94
adlbef,44,44,0,100,TRUE,28,60351,47,2836497,2680505,94.5,"",67,563336,378017,67.1,14.1
admace,94,94,0,100,FALSE,0,0,95,0,0,,"",94,790352,0,0,
adrxfail,32,32,0,100,TRUE,78,20475,33,675675,643410,95.22,"",106,891248,596062,66.88,92.64
adrxhist,34,34,0,100,FALSE,0,7365,35,257775,246165,95.5,"",34,285872,192478,67.33,78.19
adsaf,33,33,0,100,TRUE,11,18709,36,673524,641658,95.27,"",41,344728,222275,64.48,34.64
adsl,69,69,0,100,FALSE,0,525,70,36750,34980,95.18,"",69,580152,551949,95.14,1577.9
advscdai,50,50,0,100,TRUE,96,309550,53,16406150,15707235,95.74,"",141,1185528,852152,71.88,5.43
